#LINK,,,,,,
#lang,ja,,,,,
#attribution_url,http://www.city.echizen.lg.jp/office/010/021/open-data-echizen.html,,,,,
#attribution_name,越前市情報統計課,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,
#file_name,gomicn,,,,,
#download_from,http://linkdata.org/work/rdf1s1578i,,,,,
#property,行,音,ごみの種類,キーワード,区分,収集に出す際の条件等
#object_type_xsd,string:si,string:si,string:si,string:si,string:si,string:si
#property_context,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion,	Assertion
48,DEF,F,风琴,风琴,大型垃圾,"最长边的长度大于1.8米的物品,请咨询清扫中心。"
49,PQRS,R,热水器,热水器,大型垃圾,"最长边的长度大于1.8米的物品,请咨询清扫中心。"
50,ABC,C,窗帘,窗帘,大型垃圾,"但是､布制的窗帘､如果可以剪为1米见方以内的大小,则可以作为“可燃垃圾(可焚烧处理的垃圾)”处理。"
51,JKL,K,卡,卡,不可燃垃圾,银行卡等
52,DEF,D,地毯,地毯,大型垃圾,
53,WXYZ,Z,复写纸,复写纸,可燃垃圾(可焚烧处理的垃圾),
54,ABC,B,贝壳类,贝壳类,可燃垃圾(可焚烧处理的垃圾),
55,PQRS,S,手电,手电,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”｡也可以作为“不可燃垃圾”扔出
56,MNO,N,暖宝宝（一次性）,"暖宝宝,一次性",不可燃垃圾,未使用的新品有着火的可能､务必使用后再扔掉。  最外面的包装袋归为“塑料器皿､外包装垃圾”
57,GHI,H,化学药品,化学药品,不收集,请向店铺咨询
58,JKL,J,镜子,镜子,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
59,JKL,J,家具,家具,大型垃圾,"最长边的长度大于1.8米的物品,请咨询清扫中心。"
60,PQRS,S,伞,伞,不可燃垃圾,露出垃圾袋外面也没有关系
61,JKL,J,"火灾后的建筑物残骸,废弃物","建筑物残骸,废弃物",不收集,请向拆卸房屋的专业单位咨询
62,JKL,J,加湿器,加湿器,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
63,DEF,D,点心盒（纸盒）,点心盒,废旧纸,　
64,DEF,D,点心罐（金属罐）,点心罐,空罐,大小在１斗罐的一半以内
65,PQRS,S,食品袋（塑料袋）,食品袋,塑料器皿、外包装垃圾,将袋中清干净后扔出
66,PQRS,S,食品袋（纸袋）,食品袋,废旧纸,展开折叠好归入“废旧纸”回收中的“旧杂志”类
67,MNO,M,煤气炉,煤气炉,大型垃圾,
68,MNO,M,煤气(液化气)瓶,煤气(液化气)瓶,不收集,委托煤气销售店等单位回收
69,MNO,M,煤气灶,煤气灶,大型垃圾,"取下电池,将电池归为“有害垃圾”。"
70,ABC,B,便携式煤气罐,便携式煤气罐,高压喷雾罐・便携式煤气罐类,请在室外没有火种的地方，将内存瓦斯放光后再扔掉。
71,ABC,B,便携式煤气炉,便携式煤气炉,不可燃垃圾・大型垃圾,30cm见方以内的物品归为“不可然垃圾”｡其它情况均归为“大型垃圾”
72,ABC,C,磁带,磁带,可燃垃圾(可焚烧处理的垃圾),磁带盒的材质是塑料时属于“不可然垃圾”｡纸质的带盒归为“废旧纸”类
73,WXYZ,Y,乐器类,乐器类,大型垃圾,"最长边的长度大于1.8米的物品,请咨询清扫中心。"
74,DEF,D,刀(裁纸刀等工具刀),刀,不可燃垃圾,"将刀片用胶带等缠好,在垃圾袋上写明“刃物”(刀具)"
75,WXYZ,Y,雨衣,雨衣,不可燃垃圾,
76,DEF,F,方便面的容器等,花瓶,塑料器皿、外包装垃圾,"材质为纸质的情况,归为“可燃垃圾 (可焚烧处理的垃圾)”。外包装塑料膜归为“塑料器皿､外包装垃圾”"
77,GHI,H,花瓶,花瓶,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
78,JKL,L,镰刀,镰刀,不可燃垃圾,"将刀片用胶带等缠好,在垃圾袋上写明“刃物”(刀具)。菜刀也同样处理"
79,GHI,G,锅(煮饭锅),锅,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
80,WXYZ,Z,纸尿布,纸尿布,可燃垃圾(可焚烧处理的垃圾),"将污秽物扔进厕所中冲掉,纸尿布归为“可燃垃圾(可焚烧处理的垃圾)”"
81,WXYZ,Z,纸杯・纸盘,纸杯・纸盘,可燃垃圾(可焚烧处理的垃圾),
82,TUV,T,剃须刀,剃须刀,不可燃垃圾,"将刀片用胶带等缠好,在垃圾袋上写明“刃物”(刀具)"
83,WXYZ,Z,纸袋,纸袋,废旧纸,和杂志捆到一起
84,JKL,J,胶带,胶带,可燃垃圾(可焚烧处理的垃圾),"布质,纸质的胶带归为“可燃垃圾(可焚烧处理的垃圾)”、其它归为“不可燃垃圾”"
85,WXYZ,Z,照相机,照相机,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。也可以作为“不可燃垃圾”扔出。
86,GHI,H,火药,火药,不收集,向火药专卖店咨询
87,PQRS,S,"三层柜,双层柜","三层柜,双层柜",大型垃圾,"三层柜,双层柜"
88,ABC,B,玻璃,玻璃,不可燃垃圾,"用新闻纸包裹好、并在外袋上明记“ガラス”(玻璃)。装饮料用的玻璃瓶归为“空玻璃瓶”类,分颜色扔出"
89,GHI,G,挂历,挂历,废旧纸,和旧杂志捆绑在一起｡拆下来的金属部分归为“不可燃垃圾”
90,PQRS,P,皮革制品,皮革制品,不可燃垃圾,皮鞋、皮包类
91,WXYZ,W,瓦片(家庭用的少量废弃物),瓦,直接带到清扫组合处理,原则上只回收少量的瓦片｡修葺房屋时的废弃瓦片请委托专业单位处理
92,GHI,H,换气扇,换气扇,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
93,GHI,H,烘干机(衣物),烘干机,可再生家电,带到销售店处理(平成21年4月起追加)也可以委托废弃物搬运单位处理。但是、需要支付再生费用
94,GHI,G,干燥剂（食品用）,干燥剂,不可燃垃圾,纸质的情况归为“可燃垃圾(可焚烧处理的垃圾)”
95,GHI,G,灌肠,灌肠,可燃垃圾(可焚烧处理的垃圾),"考虑到卫生上的原因,使用焚烧来处理（将内容彻底清空）"
96,GHI,G,干电池,干电池,有害垃圾,
97,GHI,G,干电池（充电电池・纽扣电池）,干电池,店铺进行回收,
98,GHI,G,感热纸,感热纸,可燃垃圾(可焚烧处理的垃圾),
99,WXYZ,X,吸油泵,吸油泵,不可燃垃圾,将电池取出作为“有害垃圾”扔出
100,MNO,N,牛奶盒,牛奶盒,店铺进行回收・废旧纸,"剪开后展平,送到店铺处理或者作为废旧纸来回收"
101,PQRS,P,喷雾器,喷雾器,不可燃垃圾,
102,WXYZ,Y,银纸,银纸,可燃垃圾(可焚烧处理的垃圾),
103,WXYZ,Y,鱼缸,鱼缸,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
104,ABC,B,保险柜,保险柜,大型垃圾,家庭用保险柜(重量在两个人能够搬动的范围)归为“大型垃圾”。过重的保险柜请委托厂家回收。
105,DEF,D,打气筒（自行车用）,打气筒,不可燃垃圾,归为“不可燃垃圾”
106,DEF,D,钉子,钉子,不可燃垃圾,"用胶带缠好后扔出,以防尖端刺伤人"
107,ABC,C,草・杂草,草・杂草,可燃垃圾(可焚烧处理的垃圾),将泥土清理干净。数量很多时请直接带到清扫组合处理
108,GHI,G,割草机,割草机,大型垃圾,"为防止火灾,需要将燃料清空。"
109,PQRS,S,梳子,梳子,不可燃垃圾,木头材质的归为“可燃垃圾(可焚烧处理的垃圾)”
110,WXYZ,Y,药瓶（口服药）药片・药粒・液体药剂,"药瓶,口服药,药片,药粒,液体药剂",空玻璃瓶,
111,WXYZ,Y,药瓶（口服药以外）外用药、育毛剂等,"药瓶,外用药,育毛剂",不可燃垃圾,冲净瓶内后扔出
112,WXYZ,Y,药瓶（农药、药品）,"药瓶,农药,药品",店铺进行回收,请向店铺咨询
113,WXYZ,Y,药瓶（装胶囊的容器),"药瓶,胶囊,容器",塑料器皿、外包装垃圾,
114,WXYZ,X,鞋・运动鞋,鞋・运动鞋,不可燃垃圾,
115,WXYZ,W,袜子,袜子,可燃垃圾(可焚烧处理的垃圾),
116,JKL,K,靠垫儿,靠垫儿,可燃垃圾(可焚烧处理的垃圾),尺寸限在可以装入指定的垃圾袋以内
117,ABC,B,玻璃,玻璃,不可燃垃圾,
118,WXYZ,X,洗衣用的塑料袋,"洗衣,塑料袋",塑料器皿、外包装垃圾,
119,JKL,J,夹子・曲别针,夹子・曲别针,不可燃垃圾,
120,JKL,L,轮椅,轮椅,大型垃圾,
121,JKL,L,蜡笔等,蜡笔,可燃垃圾(可焚烧处理的垃圾),
122,PQRS,S,手套(棒球用),手套,不可燃垃圾,
123,ABC,B,"保温箱,保冷箱","保温箱,保冷箱",大型垃圾,
124,WXYZ,Y,日光灯,日光灯,有害垃圾,
125,JKL,J,计算器,计算器,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”｡也可以作为“不可燃垃圾”扔出
126,PQRS,S,手机・移动电话,手机・移动电话,小型家电回收箱・  店铺进行回收,充电器也归为店铺处理或者“小型家电回收箱”。
127,PQRS,P,化妆品瓶,"化妆品,瓶",不可燃垃圾,
128,MNO,M,木屐,木屐,可燃垃圾(可焚烧处理的垃圾),
129,DEF,F,番茄酱的容器,番茄酱的容器,塑料器皿、外包装垃圾,清洗干净后扔出。蛋黄色拉酱的容器也同样处理
130,WXYZ,X,血压计,血压计,小型家电回收箱・  不可燃垃圾・                      直接带到清扫组合处理,家庭用的水银血压计需要直接带到清扫组合去处理(需要支付费用)。  约16cm×27cm以下的放入“小型家电回收箱”｡也可以作为“不可燃垃圾”扔出
131,WXYZ,Y,硬塑料,硬塑料,不可燃垃圾,"如保龄球等的重物,需要直接带到清扫组合处理"
132,GHI,G,工具,工具,小型家电回收箱・  不可燃垃圾・大型垃圾,"将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”｡  同时､如果大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡  其它情况均归为“大型垃圾”｡"
133,WXYZ,Y,"眼镜(潜水镜,风镜,滑雪镜等的保护镜)","潜水镜,风镜,滑雪镜,保护镜",不可燃垃圾,
134,GHI,G,广告传单,广告传单,废旧纸,
135,WXYZ,X,香水瓶,香水瓶,不可燃垃圾,
136,DEF,D,大衣,大衣,可燃垃圾(可焚烧处理的垃圾),剪至１米见方以内后扔出
137,JKL,K,咖啡机,咖啡机,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”｡  同时､如果大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡  其它情况均归为“大型垃圾”｡"
138,DEF,F,肥皂,肥皂,可燃垃圾(可焚烧处理的垃圾),
139,WXYZ,X,"席子,凉席","席子,凉席",大型垃圾,
140,MNO,N,暖炉（暖炉的木架、木板）,"暖炉,暖炉的木架,木板",大型垃圾,
141,DEF,F,鸟粪,鸟粪,可燃垃圾(可焚烧处理的垃圾),
142,WXYZ,X,橡胶垫,橡胶垫,不可燃垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
143,GHI,G,高尔夫球包・球杆,"高尔夫球包,球杆",大型垃圾,
144,GHI,H,混凝土（包含混凝土块）,"混凝土,混凝土块",不收集,带到产业废弃物处理场｡但是､晾衣架的水泥墩需要直接带到清扫中心处理
145,ABC,B,避孕套,避孕套,可燃垃圾(可焚烧处理的垃圾),"考虑到卫生上的原因,使用焚烧来处理"
146,WXYZ,Y,无腿靠椅,靠椅,大型垃圾,
147,ABC,B,签字笔,签字笔,不可燃垃圾,
148,JKL,J,装酒的容器,装酒的容器,店铺进行回收,
149,WXYZ,Z,杂志,杂志,废旧纸,
150,WXYZ,Z,坐垫,坐垫,大型垃圾,
151,PQRS,P,"笸箩,笊篱","笸箩,笊篱",不可燃垃圾,竹子材质的归为“可燃垃圾(可焚烧处理的垃圾)”
152,PQRS,S,三脚架,三脚架,大型垃圾,
153,PQRS,S,三轮车,三轮车,大型垃圾,
154,ABC,C,CD・LD・MD・DVD,"CD,LD,MD,DVD",不可燃垃圾,外盒也归为“不可燃垃圾”
155,ABC,C,CD・LD播放机,"CD,LD播放机",小型家电回收箱・  不可燃垃圾・大型垃圾,"将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”。"
156,TUV,T,贴纸,贴纸,可燃垃圾(可焚烧处理的垃圾),
157,TUV,T,剔须刀(刮脸刀),"剔须刀,刮脸刀",小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。也可以作为“不可燃垃圾”扔出｡
158,ABC,C,磁铁,磁铁,不可燃垃圾,
159,GHI,G,膏药,膏药,可燃垃圾(可焚烧处理的垃圾),"考虑到卫生上的原因,使用焚烧来处理"
160,WXYZ,Z,自行车,自行车,大型垃圾,
161,WXYZ,Z,竹剑(练习击剑用的),竹剑,可燃垃圾(可焚烧处理的垃圾),切至约50cm长左右扔出｡或者原物原样归为“大型垃圾”扔出
162,WXYZ,Z,照片,照片,可燃垃圾(可焚烧处理的垃圾),照片的底片归为“不可燃垃圾”
163,WXYZ,Z,照相机,照相机,小型家电回收箱・  不可燃垃圾,将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。也可以作为“不可燃垃圾”扔出｡
164,WXYZ,X,洗发水等的容器,洗发水等的容器,塑料器皿、外包装垃圾,完全清空瓶内､用水冲洗后扔出｡需要将手压泵从瓶上摘掉后分别放到垃圾袋里
165,WXYZ,Z,榨汁机,榨汁机,不可燃垃圾・大型垃圾,30cm见方以内的物品归为“不可燃垃圾”｡其它情况均归为“大型垃圾”
166,GHI,G,果汁的纸盒,果汁的纸盒,可燃垃圾(可焚烧处理的垃圾),盒内贴有铝膜
167,DEF,D,地毯,地毯,大型垃圾,叠成小块、用绳子捆好。
168,WXYZ,Z,子弹,子弹,不收集,请咨询销售店或委托专业单位处理
169,PQRS,Q,枪支,枪支,不收集,请咨询销售店或委托专业单位处理
170,ABC,C,充电电池,充电电池,店铺进行回收,使用完的充电电池、放到循环再生合作店铺（电器店等）所设置的循环再生箱内。
171,ABC,C,充电器,充电器,小型家电回收箱・  不可燃垃圾,约16cm×27cm以下的放入“小型家电回收箱”｡也可以作为“不可燃垃圾”扔出｡
172,PQRS,S,碎纸机处理过的垃圾,碎纸机处理过的垃圾,可燃垃圾(可焚烧处理的垃圾),
173,MNO,M,灭火器,灭火器,不收集,请咨询销售店或委托专业单位处理
174,DEF,F,焚烧后的灰,焚烧后的灰,委托专业单位处理,原则上禁止一般家庭擅自焚烧物品
175,JKL,L,拉窗・拉门,"拉窗,拉门",大型垃圾,"最长边的长度限小于1.8米｡大型的物品的处理,请咨询清扫中心｡"
176,WXYZ,Y,装药片的容器,装药片的容器,塑料器皿、外包装垃圾,玻璃制的归为“不可燃垃圾”
177,ABC,C,除湿剂,除湿剂,不可燃垃圾,
178,WXYZ,W,碗柜,碗柜,大型垃圾,"最长边的长度限小于1.8米｡大型的物品的处理,请咨询清扫中心｡"
179,PQRS,R,人造肛门,人造肛门,可燃垃圾(可焚烧处理的垃圾),
180,WXYZ,Y,烟雾信号筒,烟雾信号筒,不收集,请咨询销售店或委托专业单位处理
181,ABC,B,报纸,报纸,废旧纸,
182,PQRS,S,水槽,水槽,大型垃圾,
183,WXYZ,Y,游泳眼镜,游泳眼镜,不可燃垃圾,
184,PQRS,S,水壶,水壶,不可燃垃圾,
185,DEF,D,电饭锅,电饭锅,小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”｡  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出｡                       其它情况均归为“大型垃圾”。"
186,JKL,L,旅行箱,旅行箱,大型垃圾,
187,GHI,H,滑雪板,滑雪板,大型垃圾,
188,GHI,H,滑雪服,滑雪服,不可燃垃圾,
189,GHI,H,滑雪鞋,滑雪鞋,大型垃圾,
190,TUV,T,铁锹,铁锹,大型垃圾,20cm以下的铲子归为“不可燃垃圾”
191,ABC,B,"标签,标签粘贴","标签,标签粘贴",可燃垃圾(可焚烧处理的垃圾),
192,WXYZ,Y,立体声音响,"立体声,音响",小型家电回收箱・  不可燃垃圾・大型垃圾,"约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”｡"
193,MNO,M,煤油炉,煤油炉,大型垃圾,将煤油完全清空､电池归为“有害垃圾”｡
194,GHI,H,滑雪杖,滑雪杖,大型垃圾,
195,ABC,C,长筒袜,长筒袜,可燃垃圾(可焚烧处理的垃圾),
196,WXYZ,X,吸管儿,吸管儿,不可燃垃圾,外包装袋归为“可燃垃圾(可焚烧处理的垃圾)”或“塑料器皿､外包装垃圾”
197,WXYZ,Y,"运动鞋,旅游鞋","运动鞋,旅游鞋",不可燃垃圾,
198,ABC,C,扫雪用的翻斗,扫雪用的翻斗,大型垃圾,
199,GHI,H,"滑板,雪撬","滑板,雪撬",大型垃圾,
200,WXYZ,Y,"音箱,扬声器","音箱,扬声器",小型家电回收箱・  不可燃垃圾・大型垃圾,"将电池取出。  约16cm×27cm以下的放入“小型家电回收箱”。  如大小可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,也可以作为“不可燃垃圾”扔出。                       其它情况均归为“大型垃圾”｡"
201,PQRS,S,"勺子,叉子","勺子,叉子",不可燃垃圾,
202,TUV,T,弹簧床垫,弹簧床垫,直接带到清扫组合处理,需要支付费用。不可以归为“大型垃圾”处理
203,GHI,G,高压喷雾罐,高压喷雾罐,高压喷雾罐・便携式煤气罐,请在室外没有火种的地方，将内存瓦斯放光后再扔掉。
204,GHI,H,海绵,海绵,不可燃垃圾,
205,TUV,T,拖鞋,拖鞋,不可燃垃圾,
206,PQRS,S,石板瓦,石板瓦,直接带到清扫组合处理,"但是,不包括专业单位所拆卸的瓦片。只限于少量。限在1.8米以下。"
207,PQRS,S,生理用品,生理用品,可燃垃圾(可焚烧处理的垃圾),"考虑到卫生上的原因,使用焚烧来处理"
208,PQRS,S,石棉,石棉,不收集,拿到特别管理工业垃圾处理场
209,TUV,T,陶器,陶器,不可燃垃圾・大型垃圾,"可以放入指定的垃圾袋中・且重量不至于使垃圾袋破裂时,归为“不可燃垃圾”。其它情况均为“大型垃圾”。"
210,PQRS,S,水泥,水泥,直接带到清扫组合处理,仅限一般家庭用过的少量水泥垃圾
211,TUV,T,透明胶带,透明胶带,不可燃垃圾,
212,WXYZ,X,洗涤剂容器（压泵式）,"洗涤剂容器,手压泵",塑料器皿、外包装垃圾,完全清空瓶内、用水冲洗后扔出。需要将手压泵从瓶上摘掉后归为分别放到垃圾袋里
213,WXYZ,X,洗衣粉容器（纸盒）,"洗衣粉容器,纸盒",可燃垃圾(可焚烧处理的垃圾),手柄・计量用的杯子等归为“不可燃垃圾”
214,WXYZ,X,洗衣机,洗衣机,可再生家电,"带到销售店处理,也可以委托废弃物搬运单位处理。但是,需要支付再生费用"
215,JKL,J,夹子(晾晒衣服用),"夹子,晾晒衣服用",不可燃垃圾,
216,PQRS,S,修剪后的树枝,修剪后的树枝,可燃垃圾(可焚烧处理的垃圾),剪至断面为5cm见方、长为50cm以内､放入指定垃圾袋内扔出（也可以将树枝捆成束)
217,PQRS,S,修剪后的树枝(大量),修剪后的树枝,直接带到清扫组合处理,"产生大量的垃圾时,剪至断面为5cm见方、长为50cm以内、直接带到第一清扫中心处理"
